序号,标题,简介,链接,发布时间,阅读数,评论数
87,袁晓辉：AI不应只为精英而来，而应为每一个人而来,我也看到腾讯及其生态伙伴公司正在思考如何让AI工具更好用，如何让它无感地融入生活，让智能真正成为每个人前行的助力。因为AI将放大我们独特的特质：我们生来具有不同的能力、基因，擅长不同的领域，有人善于表达，有人…,https://www.sohu.com/a/984133988_455313,2026.02.05,1061阅读,0评论
88,腾讯研究院AI速递 20260205,阿里开源Qwen3-Coder-Next模型，总参数80B激活参数仅3B，在SWE-BenchVerified上实现超70%问题解决率，媲美激活参数大10-20倍的模型；苹果发布Xcode26.3版本，正式引…,https://www.sohu.com/a/983839977_455313,2026.02.05,524阅读,0评论
89,1865年《红旗法案》的幽灵，仍在今天游荡,“人在回路中”，何尝不是一种新形式的“红旗法案”？当面对AI这么一种超脱既有经验和认知的技术形式，我们也需要一次思维的复兴。将人类从回路中解脱出来，并不意味着放弃问责，而是将问责前置到目标的设定上，后置到结果…,https://www.sohu.com/a/983704869_455313,2026.02.04,1775阅读,0评论
90,腾讯研究院AI速递 20260204,"研究指出AI竞争焦点将从模型能力转向""谁能提供最丰富Context""，记忆机制可能成为2026年另一核心研究主题。a16zAI应用团队认为AI时代是所有技术周期的叠加，传统软件正全面走向AInative，gr…",https://www.sohu.com/a/983414350_455313,2026.02.04,530阅读,0评论
91,张笑宇：我为什么成了坚定的AI“降临派”？,我这个朋友最近还在做一个AI认知助手眼镜的项目：我们今天生活在信息爆炸的年代，比如，你看到一则新闻你感到很焦虑、很生气，但是当你戴上这个AI认知助手眼镜，它就可以告诉你这是fakenews，或者论证逻辑有问题…,https://www.sohu.com/a/983252663_455313,2026.02.03,1234阅读,0评论
92,腾讯研究院AI速递 20260203,火遍全球的AI社交平台Moltbook上线仅四天即崩溃，服务器账单达天文数字，被爆料150万AI中实际仅有约2万个真正运行的Agent；模型在Agent场景和数学任务上媲美闭源模型，支持256K上下文，采用M…,https://www.sohu.com/a/982980928_455313,2026.02.03,548阅读,0评论
93,AI是人的延伸，人是AI的尺度,AI是人的延伸，这最终意味着，我们不仅要对延伸出的能力负责，更要对延伸出的价值观负责。在这种关系中，技术负责拓展边界，接手繁琐、复杂、计算密集的任务，而人类负责固守核心与方向，将精力投注于那些需要温度、需要伦…,https://www.sohu.com/a/982845274_455313,2026.02.02,4373阅读,1评论
94,腾讯研究院AI速递 20260202,谷歌正式开放Genie3公测，用户只需一句话即可实时创造可探索的互动世界，集成NanoBananaPro和Gemini实现世界草图绘制、探索与二创；宇树科技开源通用人形机器人操作大模型UnifoLM-VLA-…,https://www.sohu.com/a/982577049_455313,2026.02.02,349阅读,0评论
95,2026前沿科技趋势：塑造自己的下一个版本,随着CRISPR技术进入2.0时代、体内递送系统的完善以及表观遗传重编程的突破，基因疗法正在重新定义”预防”与”治愈”的边界，并有望在2030年前后实现阶段成熟，更安全合规地惠及更多的人群。在材料、电子信息和…,https://www.sohu.com/a/981899552_455313,2026.01.30,1934阅读,0评论
96,腾讯研究院AI速递 20260130,KimiK2.5模型上线后Agent办公能力升级，支持Word智能排版修订、PDF视觉设计图文混排、Excel数据分析金融建模和PPT自动生成；PSPDFKit创始人PeterSteinberger退休3年后…,https://www.sohu.com/a/981592767_455313,2026.01.30,736阅读,0评论
97,腾讯首席科学家张正友：具身智能已经走到多智能体互动的全新阶段,现在，AI正走进物理世界——物理AI通过直接处理传感器和执行器以及各种各样的数据，使得机器能够感知、理解物理世界，并且能够和物理世界交互，因为机器已经有身体了，所以我们又把物理AI叫做“具身智能”。智能体有以…,https://www.sohu.com/a/981541135_455313,2026.01.29,922阅读,0评论
98,腾讯研究院AI速递 20260129,OpenAI发布由GPT-5.2驱动的云端LaTeX工作区Prism，将起草、修改、协作和出版整合为一体，AI能读取论文全局结构和上下文；学院定位为抢占科技制高点的关键举措，将为国家深空探测、空间科学研究等重…,https://www.sohu.com/a/981183671_455313,2026.01.29,381阅读,0评论
99,腾讯司晓：用让人放心的技术，迎接把人放大的未来,那个老人和孩子面对AI时的提问，其实也是我们每个人心底的提问：在这个技术飞速狂奔的时代，我们到底是更从容了，还是更焦虑了？这个思考的结果，就是大家刚才在视频结尾看到的那八个字：“让人放心，把人放大。”在“放心…,https://www.sohu.com/a/981092726_455313,2026.01.28,767阅读,0评论
100,腾讯研究院AI速递 20260128,Anthropic为Claude新增MCP服务，整合Figma、GitHub、Canva等生产力工具，用户可在对话中直接调用第三方服务功能；Hyper3D发布RodinGen-2Edit，推出基于自然语言的3…,https://www.sohu.com/a/980767108_455313,2026.01.28,554阅读,0评论
